state,SAT_PCT_TESTED,SATReading,SATMath,SATWriting,SATComb,ACT_PCT_TESTED,ACTEnglish,ACTMath,ACTReading,ACTScience,ACTComb,Pop,PROP_GRAD,Spending_Per_Student01,PctMalesNeverMarried03,PctFemalesNeverMarried03,PctWhite04,PctBlack04,MandatoryKindergarten05,HS_Pct_Private06,PctPovertyLevel08,PCT_Students_AP_2014_09,PCT_Students_AP_2015_09,Avg_Class_Size10,RestPerPerson11,PCT_HS_Grad14,Pct_SchoolLunch15,Has_ST_IncomeTax17,HasDeathPenalty18,StudentTeacherRatio21,Total_Electoral_Vote_Count22,AvgHouseholdSize23,PopDenPerSqMile24
Alabama,7,544,534,530,1608,78,20.5,19.5,21,20.2,20.4,3138078,0.819,6802467,32.4,26.7,66,27,N,10.5,18,25,26,14.6,0.001614537,82,5750,Y,1,14.6,9,2.55,95.9
Alaska,52,508,505,482,1495,37,20.1,21.2,21.7,21,21.1,438805,0.914,2415614,37.5,29,57,2,N,7.2,9,15,18,12.3,0.001872887,91,4060,N,0,12.3,3,2.79,1.3
Arizona,35,521,528,502,1551,50,18.5,20.3,19.6,19.4,19.6,4087214,0.852,7221984,36,28.8,49,4,N,6.3,18,21,23,17.4,0.001364076,84,5000,Y,1,17.4,11,2.69,60.1
Arkansas,4,572,570,555,1697,90,19.9,19.9,20.5,20.1,20.2,1904692,0.827,4645874,30.2,23.8,72,16,Y,7.3,19,40,40,14.6,0.001663419,82,6090,Y,1,14.6,6,2.53,57.2
California,57,498,512,495,1505,26,21.6,22.8,22.3,21.5,22.2,23797844,0.808,60715787,40,32.8,39,5,N,7.7,16,37,38,25,0.001785881,80,5410,Y,1,25,55,2.95,251.3
Colorado,14,578,581,562,1721,100,19.9,20.4,20.5,20.5,20.4,3265425,0.897,7847152,34.7,27.3,70,4,N,7.1,13,36,38,16.4,0.002061183,89,4090,Y,1,16.4,9,2.54,52.6
Connecticut,85,508,512,512,1532,27,24,23.9,24.4,23.3,24,2413922,0.886,9361449,36.8,30.5,71,9,Y,11.5,10,39,41,12.1,0.002193609,88,3570,Y,0,12.1,7,2.56,741.6
Delaware,100,451,457,443,1351,15,22.5,22.8,23.4,22.4,22.9,595938,0.874,1736678,35.6,30.7,63,20,Y,14.8,12,40,40,12.4,0.001996968,87,4890,Y,1,12.4,3,2.63,485.3
DC,91,473,466,461,1400,38,19.8,20.5,21,19.7,20.4,407576,0.871,913724,58.3,55.9,37,47,Y,16,18,82,87,12.3,0.00332179,87,6250,Y,0,12.3,3,2.22,10588.8
Florida,67,492,490,475,1457,74,18.7,19.7,20.4,19.1,19.6,12949216,0.855,24279963,34.6,27.4,55,16,N,9.8,17,53,54,15.3,0.001930959,85,5760,N,1,15.3,29,2.62,3.78
Georgia,75,490,487,475,1452,51,20.2,20.3,21.2,20.5,20.7,6152481,0.84,15800788,36.2,30.5,53,31,N,10.2,19,42,44,14.9,0.001752349,83,5870,Y,1,14.9,16,2.72,177.6
Hawaii,64,481,504,468,1453,40,19,20.8,20,19.9,20.1,915429,0.901,2341836,37.5,28.8,19,2,N,21.7,10,34,36,14.4,0.002354005,90,4930,Y,0,14.4,4,3.00,222.9
Idaho,99,454,459,451,1364,49,21.5,21.8,22.7,21.8,22.1,970727,0.885,1868338,29.1,22.7,82,1,N,7.6,15,14,15,17.1,0.001875004,88,4900,Y,1,17.1,4,2.68,0.2
Illinois,5,600,617,590,1807,100,20.2,20.7,20.4,20.5,20.6,8405202,0.866,27313867,37.5,31.5,64,13,N,9.4,14,37,39,15.4,0.002114231,86,4900,Y,0,15.4,20,2.63,231.6
Indiana,70,493,500,477,1470,38,21,21.9,22.1,21.4,21.7,4199481,0.866,9680499,33.1,27.1,78,9,N,10,15,32,34,18.4,0.001755372,86,4800,Y,1,18.4,11,2.55,184.8
Iowa,3,592,601,570,1763,66,21.5,21.6,22.5,22.2,22.1,1999820,0.903,5380362,31.9,25.2,88,3,N,8.3,12,17,17,12.7,0.001961971,90,4000,Y,0,12.7,6,2.42,55.9
Kansas,6,589,595,568,1752,75,21.2,21.7,22.3,21.7,21.8,1822400,0.895,4679876,31.7,25.2,75,6,N,9.1,14,15,15,12.1,0.001780439,89,4890,Y,1,12.1,6,2.52,35.6
Kentucky,5,585,584,572,1741,100,19.2,19.2,19.9,19.7,19.6,2881383,0.817,6459529,31,24.5,84,8,N,10.9,18,37,38,14.5,0.00169714,81,5440,Y,1,14.5,8,2.50,1.12
Louisiana,5,556,553,546,1655,100,19.4,19.2,19.7,19.2,19.5,2899261,0.816,7166563,37.4,31.5,58,31,Y,17.2,19,22,26,13,0.001792228,82,6710,Y,1,13,8,2.60,108.1
Maine,95,462,467,451,1380,8,23.4,23.3,23.8,22.9,23.5,934144,0.902,2366014,30.6,24.7,92,1,N,11.8,14,33,32,11.5,0.011582544,90,4300,Y,0,11.5,4,2.34,43.1
Maryland,73,497,500,486,1483,21,21.8,22.3,22.7,21.9,22.3,3828550,0.882,12146895,37.2,32.7,54,29,Y,13.2,10,56,56,13.8,0.001848028,88,4180,Y,0,13.8,10,2.67,618.7
Massachusetts,83,515,529,509,1553,22,23.8,24.4,24.4,23.2,24.1,4419291,0.889,14864764,38.7,33.5,72,7,N,11.7,11,40,43,13.2,0.002266124,89,3510,Y,0,13.2,11,2.53,871.1
Michigan,4,590,610,582,1782,100,19.1,19.9,20,20.2,19.9,6566864,0.884,15425529,35.5,29.4,75,14,N,8.8,17,25,26,18,0.00162357,87,4800,Y,0,18,16,2.52,175.5
Minnesota,6,595,608,577,1780,74,22.2,23.1,23.1,22.9,23,3490475,0.916,9670430,34.7,28.2,79,6,N,9,11,30,32,14.5,0.001768619,91,3710,Y,0,14.5,10,2.48,68.9
Mississippi,3,568,547,558,1673,95,18.8,18.3,19.1,18.8,18.9,1892687,0.803,4087545,35.5,30.4,57,37,N,12.3,24,12,13,14.5,0.001538599,80,7150,Y,1,14.5,6,2.64,63.8
Missouri,4,596,595,582,1773,74,21.4,21,21.9,21.6,21.6,3943728,0.868,9004641,32.6,26.9,81,12,N,11.8,15,17,19,12.2,0.001792174,86,4650,Y,1,12.2,10,2.48,88.5
Montana,25,539,540,516,1595,72,20.2,21.4,21.9,21.2,21.3,663484,0.914,1597093,31.5,24.3,90,1,N,9.6,16,16,16,10.1,0.002554821,90,4030,Y,1,10.1,3,2.40,7.1
Nebraska,4,584,583,567,1734,84,21.1,21.1,21.8,21.5,21.5,1173189,0.903,3606311,32.4,26,79,4,N,9.1,13,14,17,9,0.00208998,89,4380,Y,1,9,5,2.47,24.7
Nevada,48,492,494,468,1454,32,20.4,21.3,21.7,21.1,21.3,1764861,0.842,3689170,35.6,28.4,50,9,Y,6.1,15,25,28,18.4,0.001938188,83,5410,N,1,18.4,6,2.71,26.3
New Hampshire,70,524,528,515,1567,19,23.6,23.6,24.2,23.2,23.8,901420,0.912,2669446,31.7,26,92,1,N,12.4,8,22,25,11.6,0.002301955,91,2630,Y,1,11.6,4,2.46,148.6
New Jersey,78,499,522,500,1521,23,22.5,23.6,23.1,22.2,23,5926262,0.876,25417507,37,31,58,13,N,11,11,32,34,12.9,0.002004574,87,3550,Y,0,12.9,14,2.72,1210.0999
New Mexico,12,550,545,531,1626,70,19,19.7,20.4,20.1,19.9,1316741,0.831,3182440,36.4,30.3,40,2,Y,7.9,21,21,22,14.8,0.001577855,82,6850,Y,0,14.8,5,2.66,17.2
New York,76,485,501,477,1463,26,22.6,23.8,23.7,23.1,23.4,12999473,0.846,57056606,40.7,35.2,57,13,N,13,16,39,41,14.7,0.002307612,84,4970,Y,0,14.7,29,2.62,420.1
North Carolina,62,495,506,478,1479,100,17.1,19.6,18.8,18.7,18.7,6229136,0.841,12335923,33.7,27.9,62,21,N,8.1,17,31,37,14.2,0.001809156,84,5240,Y,1,14.2,15,2.54,0.11
North Dakota,2,609,609,581,1799,98,19.5,20.8,20.5,20.7,20.5,435706,0.9,1281260,36,26.8,88,2,N,5.9,11,10,12,10.3,0.002212895,90,3280,Y,0,10.3,3,2.32,206.6
Ohio,17,548,556,531,1635,72,21.2,21.5,22.2,21.8,21.8,7688501,0.878,19369123,34.2,28.3,80,12,Y,11.8,16,27,29,15.3,0.00189634,87,4360,Y,1,15.3,18,2.46,284.2
Oklahoma,5,571,569,549,1689,75,20.4,20.1,21.4,20.8,20.8,2411080,0.859,5272108,30.9,23.9,68,7,Y,7.6,16,20,21,15.1,0.001677687,85,6120,Y,1,15.1,7,2.56,0.57
Oregon,49,520,520,499,1539,34,20.8,21.6,21.9,21.3,21.5,2579164,0.889,5831595,33.2,26.6,76,2,N,8,16,20,22,19.3,0.002389192,89,5320,Y,1,19.3,7,2.50,0.42
Pennsylvania,71,494,504,482,1480,18,22.2,23,23,22.2,22.7,8611136,0.879,24405142,36.1,30.2,77,10,N,13.3,13,25,27,14.1,0.001986643,87,4020,Y,1,14.1,20,2.49,286.1
Rhode Island,72,491,490,487,1468,14,22.4,22.4,23.3,22,22.7,708587,0.843,2152928,39.2,32.7,77,6,Y,16.8,14,29,31,10.8,0.002648874,84,4390,Y,0,10.8,4,2.47,1021.6
South Carolina,64,484,487,465,1436,51,19.7,20.3,20.8,20.3,20.4,3031432,0.836,7213918,34.6,28.9,64,27,Y,8.9,18,29,31,14.4,0.001813671,83,5680,Y,1,14.4,9,2.56,162.9
South Dakota,3,592,601,567,1760,78,20.9,21.8,22.1,22.1,21.9,525090,0.898,1177643,33.6,26.4,85,2,Y,7,14,15,16,13.5,0.002118888,89,3860,N,1,13.5,3,2.45,11.3
Tennessee,8,574,569,566,1709,100,19.3,19.1,19.8,19.4,19.5,4205976,0.832,8638389,31.7,26,74,17,Y,13.1,17,21,23,14,0.001599321,83,5750,Y,1,14,11,2.53,160.1
Texas,59,477,499,461,1437,37,19.8,21.5,21,20.9,20.9,15443904,0.804,42855137,34.8,28.4,44,12,N,6.3,17,37,42,14.3,0.001589786,79,5110,N,1,14.3,38,2.83,105.2
Utah,6,569,566,549,1684,100,19.9,20.2,21.3,20.8,20.7,1542258,0.906,3779376,32.1,26.1,81,1,N,5.4,12,28,31,20.4,0.001585156,90,4760,Y,1,20.4,6,3.14,36.5
