GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool:","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool:","Estimate; Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Estimate; Enrolled in school: - Enrolled in nursery school, preschool: - Private school","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool: - Private school",Estimate; Enrolled in school: - Enrolled in kindergarten:,Margin of Error; Enrolled in school: - Enrolled in kindergarten:,Estimate; Enrolled in school: - Enrolled in kindergarten: - Public school,Margin of Error; Enrolled in school: - Enrolled in kindergarten: - Public school,Estimate; Enrolled in school: - Enrolled in kindergarten: - Private school,Margin of Error; Enrolled in school: - Enrolled in kindergarten: - Private school,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4:,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4:,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8:,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8:,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12:,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12:,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Estimate; Enrolled in school: - Enrolled in college undergraduate years:,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years:,Estimate; Enrolled in school: - Enrolled in college undergraduate years: - Public school,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years: - Public school,Estimate; Enrolled in school: - Enrolled in college undergraduate years: - Private school,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years: - Private school,Estimate; Enrolled in school: - Enrolled in graduate or professional school:,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school:,Estimate; Enrolled in school: - Enrolled in graduate or professional school: - Public school,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school: - Public school,Estimate; Enrolled in school: - Enrolled in graduate or professional school: - Private school,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school: - Private school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
0400000US01,1,Alabama,4678136,4604,1190580,11549,59737,4097,35702,3357,24035,2854,62394,3924,54254,3846,8140,1408,243947,7497,220037,7629,23910,1978,260594,7138,232335,7231,28259,2743,254587,5745,227893,5855,26694,2215,259231,7284,222148,7538,37083,3220,50090,4082,38637,3894,11453,1647,3487556,11185
0400000US02,2,Alaska,704965,1871,195830,4001,9746,1426,6215,1165,3531,772,11381,1664,9803,1506,1578,808,41669,2182,38059,2186,3610,1021,39748,2623,36866,2542,2882,593,43189,2064,40063,2083,3126,852,39461,3067,33639,3030,5822,1397,10636,1481,8167,1262,2469,715,509135,3968
0400000US04,4,Arizona,6482310,5280,1757664,11447,85253,4242,55089,3934,30164,2596,89927,5184,83186,5072,6741,1201,361440,8112,333178,7601,28262,3352,365068,7509,339109,7657,25959,3059,374467,6705,350949,6524,23518,2215,407409,8758,353178,8490,54231,4974,74100,4012,48892,3620,25208,2395,4724646,11228
0400000US05,5,Arkansas,2859437,3668,746254,8910,52244,3736,37915,3105,14329,2485,39222,3229,36162,3115,3060,802,156841,4515,146374,4544,10467,1792,151965,5124,139630,5033,12335,2178,161768,5150,150030,5112,11738,1351,159808,6122,140505,6462,19303,2456,24406,2840,20035,2716,4371,866,2113183,8336
0400000US06,6,California,37329816,14378,10531321,31282,581804,11749,330195,8868,251609,7267,510695,10233,457316,9901,53379,3701,2018345,14025,1844919,14089,173426,7337,2020072,16330,1852308,16142,167764,5954,2208576,13441,2039089,14486,169487,7384,2694117,24463,2263991,23383,430126,11866,497712,10231,278782,8319,218930,7829,26798495,29511
0400000US08,8,Colorado,5156812,4098,1404518,12323,89753,4842,56057,3735,33696,2782,76226,3961,69614,3921,6612,1177,277147,7608,253774,7661,23373,2496,290742,6763,266139,7140,24603,2656,273153,5441,253820,5673,19333,2145,324910,8602,277520,8096,47390,4013,72587,4554,48231,3669,24356,2368,3752294,11555
0400000US09,9,Connecticut,3487342,4034,928526,8601,58443,3669,30852,2725,27591,2400,38825,3004,34392,2668,4433,1132,170805,5539,154659,5219,16146,1827,188859,5822,169213,5948,19646,1928,201482,4002,178244,4099,23238,2112,219093,6268,143083,6485,76010,4969,51019,3883,23554,2155,27465,2985,2558816,7541
0400000US10,10,Delaware,903972,1888,235650,5097,16354,2090,9607,1970,6747,1133,12421,1819,10546,1779,1875,592,43327,2598,38688,2617,4639,1082,44922,3180,38369,2912,6553,1369,46424,2144,39549,2237,6875,1110,57189,3295,45666,3408,11523,1844,15013,2170,9011,1617,6002,1348,668322,4833
0400000US11,11,District of Columbia,633315,1782,164598,3962,16324,1710,12488,1681,3836,1176,6211,1256,5507,1249,704,287,24381,1940,21004,2057,3377,805,20716,2044,16581,1771,4135,1020,24045,1900,20201,1919,3844,926,49560,3121,13546,2454,36014,2138,23361,2255,6293,1252,17068,1986,468717,3775
