GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Enrolled in school:
HD02_VD02,Margin of Error; Enrolled in school:
HD01_VD03,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool:"
HD02_VD03,"Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool:"
HD01_VD04,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool: - Public school"
HD02_VD04,"Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool: - Public school"
HD01_VD05,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool: - Private school"
HD02_VD05,"Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool: - Private school"
HD01_VD06,Estimate; Enrolled in school: - Enrolled in kindergarten:
HD02_VD06,Margin of Error; Enrolled in school: - Enrolled in kindergarten:
HD01_VD07,Estimate; Enrolled in school: - Enrolled in kindergarten: - Public school
HD02_VD07,Margin of Error; Enrolled in school: - Enrolled in kindergarten: - Public school
HD01_VD08,Estimate; Enrolled in school: - Enrolled in kindergarten: - Private school
HD02_VD08,Margin of Error; Enrolled in school: - Enrolled in kindergarten: - Private school
HD01_VD09,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4:
HD02_VD09,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4:
HD01_VD10,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school
HD02_VD10,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school
HD01_VD11,Estimate; Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school
HD02_VD11,Margin of Error; Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school
HD01_VD12,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8:
HD02_VD12,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8:
HD01_VD13,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school
HD02_VD13,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school
HD01_VD14,Estimate; Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school
HD02_VD14,Margin of Error; Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school
HD01_VD15,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12:
HD02_VD15,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12:
HD01_VD16,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school
HD02_VD16,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school
HD01_VD17,Estimate; Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school
HD02_VD17,Margin of Error; Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school
HD01_VD18,Estimate; Enrolled in school: - Enrolled in college undergraduate years:
HD02_VD18,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years:
HD01_VD19,Estimate; Enrolled in school: - Enrolled in college undergraduate years: - Public school
HD02_VD19,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years: - Public school
HD01_VD20,Estimate; Enrolled in school: - Enrolled in college undergraduate years: - Private school
HD02_VD20,Margin of Error; Enrolled in school: - Enrolled in college undergraduate years: - Private school
HD01_VD21,Estimate; Enrolled in school: - Enrolled in graduate or professional school:
HD02_VD21,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school:
HD01_VD22,Estimate; Enrolled in school: - Enrolled in graduate or professional school: - Public school
HD02_VD22,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school: - Public school
HD01_VD23,Estimate; Enrolled in school: - Enrolled in graduate or professional school: - Private school
HD02_VD23,Margin of Error; Enrolled in school: - Enrolled in graduate or professional school: - Private school
HD01_VD24,Estimate; Not enrolled in school
HD02_VD24,Margin of Error; Not enrolled in school
