State,MandatoryKindergarten 
Alabama,N
Alaska,N
Arizona,N
Arkansas,Y
California,N
Colorado,N
Connecticut,Y
Delaware,Y
District of Columbia,Y
Florida,N
Georgia,N
Hawaii,N
Idaho,N
Illinois,N
Indiana,N
Iowa,N
Kansas,N
Kentucky,N
Louisiana,Y
Maine,N
Maryland,Y
Massachusetts,N
Michigan,N
Minnesota,N
Mississippi,N
Missouri,N
Montana,N
Nebraska,N
Nevada,Y
New Hampshire,N
New Jersey,N
New Mexico,Y
New York,N
North Carolina,N
North Dakota,N
Ohio,Y
Oklahoma,Y
Oregon,N
Pennsylvania,N
Rhode Island,Y
South Carolina,Y
South Dakota,Y
Tennessee,Y
Texas,N
Utah,N
Vermont,N
Virginia,Y
Washington,N
West Virginia,Y
Wisconsin,N
Wyoming,N
