State,Has_State_Income_Tax
Alabama,Y
Alaska,N
Arizona,Y
Arkansas,Y
California,Y
Colorado,Y
Connecticut,Y
DC,Y
Delaware,Y
Florida,N
Georgia,Y
Hawaii,Y
Idaho,Y
Illinois,Y
Indiana,Y
Iowa,Y
Kansas,Y
Kentucky,Y
Louisiana,Y
Maine,Y
Maryland,Y
Massachusetts,Y
Michigan,Y
Minnesota,Y
Mississippi,Y
Missouri,Y
Montana,Y
Nebraska,Y
Nevada,N
New Hampshire,Y
New Jersey,Y
New Mexico,Y
New York,Y
North Carolina,Y
North Dakota,Y
Ohio,Y
Oklahoma,Y
Oregon,Y
Pennsylvania,Y
Rhode Island,Y
South Carolina,Y
South Dakota,N
Tennessee,Y
Texas,N
Utah,Y
Vermont,Y
Virginia,Y
Washington,N
West Virginia,Y
Wisconsin,Y
Wyoming,N
